Name,Usage,Parent,Tags,Value,Units
R,NUMERIC,AXUV.DIODEARRAY3.CH_13,,0.4050069636747003,m
Z,NUMERIC,AXUV.DIODEARRAY3.CH_13,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY3.CH_13,,-2.0885309720818745,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY3.CH_13,,0.035939418471978,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_13,,3.4063000679016113,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY3.CH_13,,8.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_13,,-8.648900032043457,
V_PEAK,NUMERIC,AXUV.DIODEARRAY3.CH_13,,0.2987000048160553,
AXUV.DIODEARRAY3.CH_14,SIGNAL,,,\AXUV.DIODEARRAY3.CH_14.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY3.CH_14,,\AXUV.DIODEARRAY3.CH_14.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY3.CH_14,,\ACQ1001_639.CH_49,
CURRENT,SIGNAL,AXUV.DIODEARRAY3.CH_14,,\AXUV.DIODEARRAY3.CH_14.VOLTAGE / \AXUV.DIODEARRAY3.CH_14.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY3.CH_14,,219.8,Ohm
R,NUMERIC,AXUV.DIODEARRAY3.CH_14,,0.40501364868976947,m
Z,NUMERIC,AXUV.DIODEARRAY3.CH_14,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY3.CH_14,,-2.0861854102967587,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY3.CH_14,,0.0500998458365036,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_14,,3.276299953460694,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY3.CH_14,,7.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_14,,-11.37660026550293,
V_PEAK,NUMERIC,AXUV.DIODEARRAY3.CH_14,,0.3019999861717224,
AXUV.DIODEARRAY3.CH_15,SIGNAL,,,\AXUV.DIODEARRAY3.CH_15.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY3.CH_15,,\AXUV.DIODEARRAY3.CH_15.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY3.CH_15,,\ACQ1001_639.CH_48,
